t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
54240,30.49,52.1,29.28,53.1,1,1,0
54300,30.45,52.1,29.25,53.1,1,1,0
54360,30.42,52.1,29.23,53.1,1,1,0
54420,30.39,52.1,29.20,53.0,1,1,0
54480,29.52,52.8,29.17,53.0,1,1,1
54540,29.49,52.8,29.15,53.0,1,1,1
54600,29.46,52.8,29.12,53.0,1,1,1
54660,29.44,52.8,29.09,53.0,1,1,1
54720,29.41,52.8,29.07,53.0,1,1,1
54780,29.38,52.8,29.04,53.0,1,1,1
54840,29.35,52.8,29.01,53.0,1,1,1
54900,29.32,52.8,28.99,53.0,1,1,1
54960,29.30,52.8,28.96,53.0,1,1,1
55020,29.27,52.8,28.93,53.0,1,1,1
55080,29.24,52.8,28.91,53.0,1,1,1
55140,29.21,52.8,28.88,53.0,1,1,1
55200,29.18,52.8,28.85,53.0,1,1,1
55260,29.95,52.3,28.83,53.0,1,1,0
55320,29.92,52.3,28.80,52.9,1,1,0
55380,29.89,52.3,28.77,52.9,1,1,0
55440,29.86,52.3,28.75,52.9,1,1,0
55500,29.83,52.3,28.72,52.9,1,1,0
55560,29.79,52.4,28.69,52.9,1,1,0
55620,29.76,52.4,28.67,52.9,1,1,0
55680,29.73,52.4,28.64,52.9,1,1,0
55740,29.70,52.4,28.61,52.9,1,1,0
55800,29.66,52.5,28.58,52.9,1,1,0
55860,29.61,52.6,28.53,53.0,1,1,0
55920,29.56,52.6,28.49,53.1,1,1,0
55980,29.51,52.7,28.45,53.2,1,1,0
56040,29.46,52.8,28.40,53.3,1,1,0
56100,29.42,52.9,28.36,53.3,1,1,0
56160,29.37,53.0,28.32,53.4,1,1,0
56220,29.32,53.1,28.27,53.5,1,1,0
56280,29.27,53.2,28.23,53.6,1,1,0
56340,29.22,53.3,28.19,53.7,1,1,0
56400,29.17,53.4,28.14,53.7,1,1,0
56460,29.12,53.5,28.10,53.8,1,1,0
56520,29.08,53.6,28.06,53.9,1,1,0
56580,29.03,53.7,28.01,54.0,1,1,0
56640,28.98,53.8,27.97,54.1,1,1,0
56700,28.93,53.9,27.93,54.1,1,1,0
56760,28.88,54.0,27.88,54.2,1,1,0
56820,28.83,54.1,27.84,54.3,1,1,0
56880,28.78,54.2,27.80,54.4,1,1,0
56940,28.74,54.3,27.75,54.5,1,1,0
57000,28.69,54.4,27.71,54.5,1,1,0
57060,28.64,54.5,27.67,54.6,1,1,0
57120,28.59,54.6,27.62,54.7,1,1,0
57180,28.54,54.7,27.58,54.8,1,1,0
57240,28.49,54.8,27.54,54.9,1,1,0
57300,28.44,54.9,27.49,54.9,1,1,0
57360,28.39,55.0,27.45,55.0,1,1,0
57420,28.35,55.1,27.41,55.1,1,1,0
57480,28.30,55.2,27.36,55.2,1,1,0
57540,28.25,55.3,27.32,55.3,1,1,0
57600,28.18,55.5,27.26,55.4,1,1,0
57660,28.10,55.7,27.19,55.6,1,1,0
57720,28.03,55.9,27.12,55.7,1,1,0
57780,27.95,56.1,27.04,55.9,1,1,0
57840,28.71,56.3,26.97,56.1,0,1,0
57900,28.63,56.5,26.90,56.3,0,1,0
57960,28.55,56.7,26.82,56.4,0,1,0
58020,28.46,57.0,26.75,56.6,0,1,0
58080,28.38,57.2,26.68,56.8,0,1,0
58140,28.29,57.4,26.60,56.9,0,1,0
58200,28.21,57.6,26.53,57.1,0,1,0
58260,28.13,57.8,26.46,57.3,0,1,0
58320,28.04,58.0,26.38,57.5,0,1,0
58380,27.96,58.3,26.31,57.6,0,1,0
58440,27.87,58.5,26.24,57.8,0,1,0
58500,27.79,58.7,26.16,58.0,0,1,0
