t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
20160,21.97,78.2,21.97,69.3,0,1,0
20220,21.99,78.1,21.99,69.3,0,1,0
20280,22.01,78.1,22.01,69.3,0,1,0
20340,22.04,73.8,22.04,69.2,1,1,0
20400,22.06,73.7,22.06,69.2,1,1,0
20460,22.08,73.7,22.08,69.2,1,1,0
20520,22.11,73.7,22.11,69.1,1,1,0
20580,22.13,73.6,22.13,69.1,1,1,0
20640,22.15,73.6,22.15,69.1,1,1,0
20700,22.18,73.6,22.18,69.1,1,1,0
20760,22.20,73.5,22.20,69.0,1,1,0
20820,22.22,73.5,22.22,69.0,1,1,0
20880,22.25,73.5,22.25,69.0,1,1,0
20940,22.27,73.4,22.27,69.0,1,1,0
21000,22.29,73.4,22.29,68.9,1,1,0
21060,22.32,73.4,22.32,68.9,1,1,0
21120,22.34,73.3,22.34,68.9,1,1,0
21180,22.36,73.3,22.36,68.9,1,1,0
21240,22.39,73.3,22.39,68.8,1,1,0
21300,22.41,73.2,22.41,68.8,1,1,0
21360,22.43,73.2,22.43,68.8,1,1,0
21420,22.46,73.2,22.46,68.7,1,1,0
21480,22.48,73.1,22.48,68.7,1,1,0
21540,22.50,73.1,22.50,68.7,1,1,0
21600,22.53,73.1,22.53,68.7,1,1,0
21660,22.55,77.2,22.55,68.6,0,1,0
21720,22.57,77.1,22.57,68.6,0,1,0
21780,22.60,77.1,22.60,68.6,0,1,0
21840,22.62,77.0,22.62,68.6,0,1,0
21900,22.64,77.0,22.64,68.5,0,1,0
21960,22.67,77.0,22.67,68.5,0,1,0
22020,22.69,76.9,22.69,68.5,0,1,0
22080,22.72,76.9,22.71,68.5,0,1,0
22140,22.74,76.8,22.74,68.4,0,1,0
22200,22.76,76.8,22.76,68.4,0,1,0
22260,22.79,76.8,22.78,68.4,0,1,0
22320,22.81,72.7,22.81,68.3,1,1,0
22380,22.83,72.6,22.83,68.3,1,1,0
22440,22.86,72.6,22.85,68.3,1,1,0
22500,22.88,72.6,22.88,68.3,1,1,0
22560,22.91,72.5,22.90,68.2,1,1,0
22620,22.93,72.5,22.92,68.2,1,1,0
22680,22.95,72.4,22.95,68.2,1,1,0
22740,22.98,72.4,22.97,68.2,1,1,0
22800,23.00,72.4,22.99,68.1,1,1,0
22860,23.03,72.3,23.02,68.1,1,1,0
22920,23.05,72.3,23.04,68.1,1,1,0
22980,23.08,76.2,23.06,68.1,0,1,0
23040,23.11,76.2,23.09,68.0,0,1,0
23100,23.14,76.1,23.11,68.0,0,1,0
23160,23.16,76.1,23.13,68.0,0,1,0
23220,23.19,76.0,23.16,67.9,0,1,0
23280,23.21,76.0,23.18,67.9,0,1,0
23340,23.23,75.9,23.20,67.9,0,1,0
23400,23.24,76.1,23.20,68.0,0,1,0
23460,23.24,76.2,23.20,68.2,0,1,0
23520,23.24,76.3,23.20,68.3,0,1,0
23580,23.24,76.4,23.20,68.4,0,1,0
23640,23.22,72.6,23.20,68.5,1,1,0
23700,23.23,72.7,23.20,68.6,1,1,0
23760,23.23,72.9,23.20,68.8,1,1,0
23820,23.23,73.0,23.20,68.9,1,1,0
23880,23.23,73.1,23.20,69.0,1,1,0
23940,23.23,73.2,23.20,69.1,1,1,0
24000,23.23,73.3,23.20,69.2,1,1,0
24060,23.24,73.4,23.20,69.4,1,1,0
24120,23.24,73.5,23.20,69.5,1,1,0
24180,23.24,73.6,23.20,69.6,1,1,0
24240,23.24,73.7,23.20,69.7,1,1,0
24300,23.28,77.6,23.20,69.8,0,1,0
24360,23.29,77.7,23.20,70.0,0,1,0
24420,23.29,77.8,23.20,70.1,0,1,0
24480,23.29,77.9,23.20,70.2,0,1,0
24540,23.30,78.0,23.20,70.3,0,1,0
24600,23.30,78.1,23.20,70.4,0,1,0
24660,23.31,78.2,23.20,70.6,0,1,0
24720,23.31,78.3,23.20,70.7,0,1,0
24780,23.31,78.4,23.20,70.8,0,1,0
24840,23.32,78.5,23.20,70.9,0,1,0
24900,23.32,78.6,23.20,71.0,0,1,0
24960,23.27,75.1,23.20,71.2,1,1,0
25020,23.27,75.2,23.20,71.3,1,1,0
25080,23.27,75.3,23.20,71.4,1,1,0
25140,23.29,75.3,23.22,71.4,1,1,0
25200,23.43,74.7,23.36,70.9,1,1,0
25260,23.58,74.2,23.50,70.4,1,1,0
25320,23.72,73.6,23.64,69.9,1,1,0
25380,23.86,73.1,23.78,69.4,1,1,0
25440,24.00,72.5,23.92,68.8,1,1,0
25500,24.15,71.9,24.06,68.3,1,1,0
25560,24.29,71.4,24.20,67.8,1,1,0
25620,24.52,74.1,24.34,67.3,0,1,0
25680,24.66,73.5,24.48,66.8,0,1,0
25740,24.81,72.9,24.62,66.3,0,1,0
25800,24.95,72.3,24.76,65.7,0,1,0
25860,25.10,71.7,24.90,65.2,0,1,0
25920,25.25,71.1,25.04,64.7,0,1,0
25980,25.39,70.5,25.18,64.2,0,1,0
26040,25.54,69.9,25.32,63.7,0,1,0
26100,25.68,69.3,25.46,63.2,0,1,0
26160,25.83,68.7,25.60,62.6,0,1,0
26220,25.97,68.1,25.74,62.1,0,1,0
26280,26.12,67.5,25.88,61.6,0,1,0
26340,26.27,67.0,26.02,61.1,0,1,0
26400,26.41,66.4,26.16,60.6,0,1,0
26460,26.56,65.8,26.30,60.1,0,1,0
26520,26.71,65.2,26.44,59.5,0,1,0
26580,26.85,64.6,26.58,59.0,0,1,0
26640,27.00,64.0,26.72,58.5,0,1,0
26700,27.14,63.4,26.86,58.0,0,1,0
26760,27.29,62.8,27.00,57.5,0,1,0
26820,27.44,62.3,27.14,57.0,0,1,0
26880,27.58,61.7,27.28,56.4,0,1,0
26940,27.72,61.1,27.40,56.0,0,1,0
27000,27.74,61.0,27.42,55.9,0,1,0
27060,27.77,60.9,27.44,55.8,0,1,0
27120,27.80,60.8,27.46,55.7,0,1,0
27180,27.82,60.7,27.48,55.7,0,1,0
27240,27.85,60.6,27.50,55.6,0,1,0
27300,27.88,60.5,27.52,55.5,0,1,0
27360,27.90,60.3,27.54,55.4,0,1,0
27420,27.93,60.2,27.56,55.3,0,1,0
27480,27.96,60.1,27.58,55.2,0,1,0
27540,27.99,60.0,27.60,55.2,0,1,0
27600,28.01,59.9,27.62,55.1,0,1,0
27660,27.85,57.5,27.64,55.0,1,1,0
27720,27.87,57.4,27.66,54.9,1,1,0
27780,27.90,57.3,27.68,54.8,1,1,0
