t_s,T_in_C,RH_in_pct
48660,31.87,48.3
48720,31.83,48.4
48780,31.78,48.5
48840,31.74,48.6
48900,31.69,48.7
48960,31.65,48.7
49020,31.61,48.8
49080,31.56,48.9
49140,31.52,49.0
49200,31.48,49.1
49260,31.43,49.2
49320,31.39,49.3
49380,31.35,49.4
49440,31.30,49.4
49500,31.26,49.5
49560,31.21,49.6
49620,31.17,49.7
49680,31.13,49.8
49740,31.08,49.9
49800,31.04,50.0
49860,31.00,50.1
49920,30.95,50.1
49980,30.91,50.2
50040,30.86,50.3
50100,30.82,50.4
50160,30.78,50.5
50220,30.73,50.6
50280,30.69,50.7
50340,30.65,50.8
50400,30.62,50.8
50460,30.62,50.7
50520,30.63,50.7
50580,30.63,50.6
50640,30.63,50.6
50700,30.63,50.5
50760,30.64,50.4
50820,30.64,50.4
50880,30.64,50.3
50940,30.64,50.3
51000,30.65,50.2
51060,30.65,50.1
51120,30.65,50.1
51180,30.65,50.0
51240,30.66,50.0
51300,30.66,49.9
51360,30.66,49.8
51420,30.66,49.8
51480,30.67,49.7
51540,30.67,49.7
51600,30.67,49.6
51660,30.67,49.5
51720,30.68,49.5
51780,30.68,49.4
51840,30.68,49.4
51900,30.68,49.3
51960,30.68,49.2
52020,30.69,49.2
52080,30.69,49.1
52140,30.69,49.1
52200,30.68,49.1
52260,30.65,49.2
52320,30.61,49.3
52380,30.58,49.5
52440,30.55,49.6
52500,30.52,49.7
52560,30.49,49.8
52620,30.46,50.0
52680,30.43,50.1
52740,30.40,50.2
52800,30.37,50.3
52860,30.33,50.5
52920,30.30,50.6
52980,30.27,50.7
53040,30.24,50.9
53100,30.21,51.0
53160,30.18,51.1
53220,30.15,51.2
53280,30.12,51.4
53340,30.09,51.5
53400,30.05,51.6
53460,30.02,51.7
53520,29.99,51.9
53580,29.96,52.0
53640,29.93,52.1
53700,30.78,51.4
53760,30.75,51.6
53820,30.71,51.7
53880,30.68,51.8
53940,30.64,52.0
54000,30.61,52.0
54060,30.58,52.0
54120,30.55,52.1
54180,30.52,52.1
54240,30.49,52.1
54300,30.45,52.1
54360,30.42,52.1
54420,30.39,52.1
54480,29.52,52.8
54540,29.49,52.8
54600,29.46,52.8
54660,29.44,52.8
54720,29.41,52.8
54780,29.38,52.8
54840,29.35,52.8
54900,29.32,52.8
54960,29.30,52.8
55020,29.27,52.8
55080,29.24,52.8
55140,29.21,52.8
55200,29.18,52.8
55260,29.95,52.3
55320,29.92,52.3
55380,29.89,52.3
55440,29.86,52.3
55500,29.83,52.3
55560,29.79,52.4
55620,29.76,52.4
55680,29.73,52.4
55740,29.70,52.4
55800,29.66,52.5
55860,29.61,52.6
55920,29.56,52.6
55980,29.51,52.7
56040,29.46,52.8
56100,29.42,52.9
56160,29.37,53.0
56220,29.32,53.1
56280,29.27,53.2
56340,29.22,53.3
56400,29.17,53.4
56460,29.12,53.5
56520,29.08,53.6
56580,29.03,53.7
56640,28.98,53.8
56700,28.93,53.9
56760,28.88,54.0
56820,28.83,54.1
56880,28.78,54.2
56940,28.74,54.3
57000,28.69,54.4
57060,28.64,54.5
57120,28.59,54.6
57180,28.54,54.7
57240,28.49,54.8
57300,28.44,54.9
57360,28.39,55.0
57420,28.35,55.1
57480,28.30,55.2
57540,28.25,55.3
57600,28.18,55.5
57660,28.10,55.7
57720,28.03,55.9
57780,27.95,56.1
57840,28.71,56.3
57900,28.63,56.5
57960,28.55,56.7
58020,28.46,57.0
58080,28.38,57.2
58140,28.29,57.4
58200,28.21,57.6
58260,28.13,57.8
58320,28.04,58.0
58380,27.96,58.3
58440,27.87,58.5
58500,27.79,58.7
58560,27.71,58.9
58620,27.62,59.1
58680,27.54,59.4
58740,27.45,59.6
58800,27.37,59.8
58860,27.28,60.0
58920,27.20,60.3
58980,27.12,60.5
59040,27.03,60.7
59100,26.95,60.9
59160,26.86,61.2
59220,26.78,61.4
59280,26.69,61.6
59340,26.61,61.8
59400,26.56,62.0
59460,26.54,62.0
59520,26.52,62.0
59580,26.51,62.0
59640,26.49,62.0
59700,26.47,62.0
59760,26.45,62.0
59820,26.44,62.1
59880,26.42,62.1
59940,26.40,62.1
60000,26.38,62.1
60060,26.37,62.1
60120,26.35,62.1
60180,26.33,62.1
60240,26.31,62.1
60300,26.30,62.2
60360,26.28,62.2
60420,26.26,62.2
60480,26.24,62.2
60540,26.23,62.2
60600,26.21,62.2
60660,26.19,62.2
60720,26.17,62.3
60780,26.16,62.3
60840,26.14,62.3
60900,26.12,62.3
60960,26.10,62.3
61020,26.09,62.3
61080,26.07,62.3
61140,26.05,62.3
61200,26.01,62.4
61260,25.95,62.6
61320,25.88,62.8
61380,25.82,63.0
61440,25.75,63.1
61500,25.69,63.3
61560,25.63,63.5
61620,25.56,63.7
61680,25.50,63.9
61740,25.43,64.0
61800,25.37,64.2
61860,25.31,64.4
61920,25.24,64.6
61980,25.18,64.8
62040,25.12,64.9
62100,25.05,65.1
62160,24.99,65.3
62220,24.93,65.5
62280,24.86,65.7
62340,24.80,65.8
62400,24.73,66.0
62460,24.67,66.2
62520,24.61,66.4
62580,24.54,66.6
62640,24.48,66.7
62700,24.42,66.9
62760,24.35,67.1
62820,24.29,67.3
62880,24.23,67.5
62940,24.16,67.7
63000,24.14,67.8
63060,24.14,67.8
63120,24.15,67.8
63180,24.16,67.8
63240,24.16,67.8
63300,24.17,67.8
63360,24.18,67.8
63420,24.19,67.8
63480,24.19,67.8
63540,24.20,67.8
63600,24.21,67.8
63660,24.21,67.8
63720,24.22,67.8
63780,24.23,67.8
63840,24.24,67.9
63900,24.24,67.9
63960,24.25,67.9
64020,24.26,67.9
64080,24.27,67.9
64140,24.27,67.9
64200,24.28,67.9
64260,24.29,67.9
64320,24.30,67.9
64380,24.30,67.9
64440,24.31,67.9
64500,24.32,67.9
64560,24.33,67.9
64620,24.34,67.9
64680,24.34,67.9
64740,24.35,67.9
64800,24.34,68.0
64860,24.30,68.1
64920,24.27,68.2
64980,24.23,68.2
65040,24.20,68.3
65100,24.16,68.4
65160,24.13,68.5
65220,24.09,68.6
65280,24.06,68.7
65340,24.02,68.8
65400,23.99,68.9
65460,23.95,69.0
65520,23.92,69.1
65580,23.88,69.2
65640,23.85,69.3
65700,23.81,69.4
65760,23.78,69.4
65820,23.75,69.5
65880,23.71,69.6
65940,23.68,69.7
66000,23.64,69.8
66060,23.61,69.9
66120,23.58,70.0
66180,23.54,70.1
66240,23.51,70.2
66300,23.47,70.3
66360,23.44,70.3
66420,23.41,70.4
66480,23.37,70.5
66540,23.34,70.6
66600,23.31,70.7
66660,23.29,70.8
66720,23.26,70.9
66780,23.24,71.0
66840,23.22,71.1
66900,23.19,71.2
66960,23.17,71.4
67020,23.15,71.5
67080,23.12,71.6
67140,23.10,71.7
67200,23.08,71.8
67260,23.06,71.9
67320,23.03,72.0
67380,23.01,72.1
67440,22.99,72.2
67500,22.97,72.3
67560,22.94,72.4
67620,22.92,72.5
67680,22.90,72.6
67740,22.88,72.7
67800,22.85,72.8
67860,22.83,72.9
67920,22.81,73.0
67980,22.79,73.1
68040,22.77,73.2
68100,22.74,73.3
68160,22.72,73.4
68220,22.70,73.5
68280,22.68,73.6
68340,22.66,73.7
68400,22.62,73.9
68460,22.58,74.0
68520,22.53,74.2
68580,22.49,74.4
68640,22.45,74.6
68700,22.40,74.8
68760,22.36,74.9
68820,22.31,75.1
68880,22.22,71.3
68940,22.17,71.5
69000,22.13,71.6
69060,22.09,71.8
69120,22.05,71.9
69180,22.01,72.1
69240,21.96,72.3
69300,21.92,72.4
69360,21.88,72.6
69420,21.84,72.7
69480,21.80,72.9
69540,21.79,77.2
69600,21.74,77.4
69660,21.70,77.6
69720,21.66,77.7
69780,21.61,77.9
69840,21.57,78.1
69900,21.53,78.3
69960,21.49,78.4
70020,21.44,78.6
70080,21.40,78.8
70140,21.36,78.9
70200,21.28,74.9
70260,21.22,75.3
70320,21.15,75.7
70380,21.08,76.1
70440,21.01,76.5
70500,20.95,76.9
70560,20.88,77.3
70620,20.81,77.7
70680,20.74,78.1
70740,20.68,78.5
70800,20.61,78.9
70860,20.54,79.3
70920,20.47,79.7
70980,20.41,80.1
71040,20.34,80.5
71100,20.27,80.9
71160,20.20,77.7
71220,20.14,78.1
71280,20.07,78.5
71340,20.00,78.8
71400,19.94,79.2
71460,19.87,79.6
71520,19.80,80.0
71580,19.74,80.4
71640,19.67,80.8
71700,19.60,81.1
71760,19.54,81.5
71820,19.47,81.9
71880,19.40,82.3
71940,19.34,82.7
72000,19.29,82.9
72060,19.27,83.1
72120,19.24,83.1
72180,19.22,91.7
72240,19.20,91.7
72300,19.17,91.6
72360,19.15,91.6
72420,19.13,91.6
72480,19.10,91.6
72540,19.08,91.6
72600,19.06,91.5
72660,19.03,91.5
72720,19.01,86.3
72780,18.99,86.3
72840,18.96,86.3
72900,18.94,86.2
72960,18.92,86.2
73020,18.89,86.2
73080,18.87,86.2
73140,18.85,86.1
73200,18.82,86.1
73260,18.80,86.1
73320,18.77,86.0
73380,18.75,86.0
73440,18.73,86.0
73500,18.70,86.0
73560,18.68,85.9
73620,18.66,85.9
73680,18.63,85.9
73740,18.61,85.9
73800,18.62,85.9
73860,18.65,85.9
73920,18.68,86.0
73980,18.71,86.1
74040,18.74,86.1
74100,18.77,86.2
74160,18.80,86.3
74220,18.83,86.4
74280,18.86,86.4
74340,18.89,86.5
74400,18.92,86.6
74460,18.95,86.6
74520,18.98,86.7
74580,19.01,86.8
74640,19.04,86.8
74700,19.07,86.9
74760,19.10,87.0
74820,19.13,87.1
74880,19.16,87.1
74940,19.19,87.2
75000,19.22,87.3
75060,19.25,87.3
75120,19.28,87.4
75180,19.31,87.5
75240,19.34,87.5
75300,19.37,87.6
75360,19.40,87.7
75420,19.43,87.7
75480,19.46,87.8
75540,19.49,87.9
75600,19.51,87.9
75660,19.54,87.8
75720,19.57,87.7
75780,19.59,87.6
75840,19.62,87.5
75900,19.65,87.4
75960,19.67,87.3
76020,19.70,87.2
76080,19.73,87.1
76140,19.75,87.0
76200,19.78,87.0
76260,19.81,86.9
76320,19.83,86.8
76380,19.86,86.7
76440,19.89,86.6
76500,19.91,86.5
76560,19.94,86.4
76620,19.97,86.3
76680,19.99,86.2
76740,20.02,86.1
76800,20.05,86.0
76860,20.07,85.9
76920,20.10,85.8
76980,20.13,85.8
77040,20.15,85.7
77100,20.18,85.6
77160,20.21,85.5
77220,20.23,85.4
77280,20.26,85.3
77340,20.29,85.2
77400,20.28,85.2
77460,20.23,85.4
77520,20.19,85.6
77580,20.15,85.7
77640,20.10,85.9
77700,20.06,86.0
77760,20.02,86.2
77820,19.97,86.4
77880,19.93,86.5
77940,19.89,86.7
78000,19.84,86.8
78060,19.80,87.0
78120,19.76,87.2
78180,19.71,87.3
78240,19.67,87.5
78300,19.63,87.7
78360,19.58,87.8
78420,19.54,88.0
78480,19.50,88.1
78540,19.45,88.3
78600,19.41,88.5
78660,19.37,88.6
78720,19.32,88.8
78780,19.28,88.9
78840,19.24,89.1
78900,19.19,89.3
78960,19.15,89.4
79020,19.11,89.6
79080,19.06,89.8
79140,19.02,89.9
79200,18.99,90.0
79260,18.98,90.1
79320,18.97,90.1
79380,18.96,86.3
79440,18.95,86.3
79500,18.94,86.4
79560,18.93,86.4
79620,18.92,86.5
79680,18.91,86.5
79740,18.90,86.6
79800,18.89,86.6
79860,18.88,86.7
79920,18.87,86.7
79980,18.86,86.7
80040,18.85,86.8
80100,18.84,86.8
80160,18.83,90.8
80220,18.82,90.9
80280,18.81,90.9
80340,18.80,91.0
80400,18.79,91.0
80460,18.78,91.1
80520,18.77,91.1
80580,18.76,91.2
80640,18.75,91.2
80700,18.74,91.3
80760,18.73,91.3
