t_s,T_in_C,RH_in_pct
61020,28.34,47.4
61080,28.31,47.4
61140,28.27,47.3
61200,28.24,47.3
61260,28.18,47.4
61320,27.57,46.1
61380,27.51,46.3
61440,27.44,46.4
61500,27.38,46.6
61560,27.32,46.7
61620,27.26,46.9
61680,27.20,47.0
61740,27.14,47.2
61800,27.07,47.3
61860,27.01,47.5
61920,26.95,47.6
61980,27.37,49.5
62040,27.31,49.6
62100,27.24,49.8
62160,27.17,50.0
62220,27.11,50.1
62280,27.04,50.3
62340,26.97,50.5
62400,26.91,50.7
62460,26.84,50.8
62520,26.77,51.0
62580,26.71,51.2
62640,26.64,51.3
62700,26.57,51.5
62760,26.51,51.7
62820,26.44,51.9
62880,26.38,52.0
62940,26.31,52.2
63000,26.24,52.4
63060,26.12,52.7
63120,25.97,53.1
63180,25.82,53.5
63240,25.67,53.9
63300,25.52,54.3
63360,25.38,54.7
63420,25.23,55.0
63480,25.08,55.4
63540,24.93,55.8
63600,24.79,56.2
63660,24.64,56.6
63720,24.49,57.0
63780,24.35,57.4
63840,24.20,57.8
63900,24.05,58.2
63960,23.90,58.6
64020,23.76,59.0
64080,23.61,59.4
64140,23.46,59.8
64200,23.32,60.2
64260,23.17,60.6
64320,23.02,61.0
64380,22.88,61.4
64440,32.38,100.0
64500,22.58,62.2
64560,22.43,62.6
64620,21.81,57.6
64680,21.67,57.9
64740,21.53,58.2
64800,21.39,58.6
64860,21.28,59.0
64920,21.16,59.4
64980,21.04,59.9
65040,20.92,60.3
65100,20.80,60.7
65160,20.70,61.4
65220,20.58,61.9
65280,20.47,62.3
65340,20.35,62.8
65400,28.09,100.0
65460,20.47,69.9
65520,20.35,70.4
65580,20.23,70.9
65640,20.10,71.4
65700,19.98,71.9
65760,19.85,72.4
65820,19.73,73.0
65880,19.60,73.5
65940,19.48,74.0
66000,19.36,74.5
66060,19.23,75.0
66120,18.93,71.3
66180,18.80,71.7
66240,18.68,72.2
66300,18.56,72.7
66360,18.44,73.1
66420,18.32,73.6
66480,18.20,74.1
66540,18.08,74.6
66600,17.96,75.0
66660,17.89,75.4
66720,17.81,75.9
66780,17.73,76.3
66840,17.66,76.7
66900,17.58,77.1
66960,17.50,77.5
67020,17.43,77.9
67080,17.35,78.3
67140,17.28,78.7
67200,17.20,79.1
67260,17.12,79.5
67320,17.05,79.9
67380,16.97,80.3
67440,16.89,80.7
67500,16.82,81.1
67560,16.66,77.5
67620,16.59,77.8
67680,16.52,78.2
67740,16.44,78.6
67800,16.37,79.0
67860,16.29,79.3
67920,16.22,79.7
67980,16.15,80.1
68040,16.07,80.5
68100,16.00,80.9
68160,15.92,81.2
68220,15.85,81.6
68280,15.78,82.0
68340,15.70,82.4
68400,15.63,82.7
68460,15.58,82.9
68520,15.54,83.1
68580,15.49,83.2
68640,15.45,83.4
68700,15.41,83.5
68760,15.36,83.7
68820,15.32,83.9
68880,15.27,84.0
68940,15.23,84.2
69000,15.18,84.3
69060,15.14,84.5
69120,15.10,84.6
69180,15.05,84.8
69240,15.01,85.0
69300,14.96,85.1
69360,14.92,85.3
69420,14.88,85.4
69480,14.83,85.6
69540,14.79,85.7
69600,14.74,85.9
69660,14.70,86.0
69720,14.66,86.2
69780,14.61,86.4
69840,14.57,86.5
69900,14.52,86.7
69960,14.48,86.8
70020,14.44,87.0
70080,14.39,87.1
70140,14.35,87.3
70200,14.30,87.4
70260,14.26,87.5
70320,14.22,87.5
70380,14.17,87.5
70440,14.13,87.5
70500,14.09,87.6
70560,14.04,87.6
70620,14.00,87.6
70680,13.96,87.6
70740,13.91,87.7
70800,13.87,87.7
70860,13.82,87.7
70920,13.78,87.7
70980,13.74,87.8
71040,13.69,87.8
71100,13.65,87.8
71160,13.61,87.8
71220,13.56,87.9
71280,13.52,87.9
71340,13.48,87.9
71400,13.43,87.9
71460,13.39,88.0
71520,13.35,88.0
71580,13.30,88.0
71640,13.26,88.0
71700,13.22,88.1
71760,13.17,88.1
71820,13.13,88.1
71880,13.09,88.1
71940,13.04,88.1
72000,13.00,88.2
72060,12.98,88.2
72120,12.96,88.3
72180,12.94,94.1
72240,12.92,94.1
72300,12.90,94.2
72360,12.88,94.2
72420,12.86,94.3
72480,12.84,94.3
72540,12.82,94.3
72600,12.80,94.4
72660,12.78,94.4
72720,12.76,94.5
72780,12.74,94.5
72840,12.72,94.6
72900,12.70,94.6
72960,12.68,88.8
73020,12.66,88.8
73080,12.64,88.9
73140,12.62,88.9
73200,12.60,89.0
